trading_day,datetime,symbol,tq_symbol,exchange,product,sector,bar_id,actual_contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2016-01-05,1.4519232e+18,TA,KQ.m@CZCE.TA,CZCE,TA,chemical,0.0,,4444.0,4498.0,4436.0,4488.0,590574.0,0.0,438705.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 19:37:01
2016-01-06,1.4520096e+18,TA,KQ.m@CZCE.TA,CZCE,TA,chemical,1.0,,4480.0,4504.0,4444.0,4468.0,432376.0,438705.0,415917.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 19:37:01
2016-01-07,1.452096e+18,TA,KQ.m@CZCE.TA,CZCE,TA,chemical,2.0,,4430.0,4460.0,4410.0,4424.0,473922.0,415917.0,403970.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 19:37:01
2016-01-08,1.4521824e+18,TA,KQ.m@CZCE.TA,CZCE,TA,chemical,3.0,,4422.0,4440.0,4388.0,4428.0,497215.0,403970.0,425879.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 19:37:01
2016-01-11,1.4524416e+18,TA,KQ.m@CZCE.TA,CZCE,TA,chemical,4.0,,4426.0,4444.0,4378.0,4382.0,425059.0,425879.0,447204.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 19:37:01
2016-01-12,1.452528e+18,TA,KQ.m@CZCE.TA,CZCE,TA,chemical,5.0,,4388.0,4406.0,4240.0,4248.0,791624.0,447204.0,499871.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 19:37:01
2016-01-13,1.4526144e+18,TA,KQ.m@CZCE.TA,CZCE,TA,chemical,6.0,,4270.0,4302.0,4240.0,4254.0,592155.0,499871.0,525188.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 19:37:01
2016-01-14,1.4527008e+18,TA,KQ.m@CZCE.TA,CZCE,TA,chemical,7.0,,4266.0,4280.0,4220.0,4262.0,565614.0,525188.0,519369.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 19:37:01
2016-01-15,1.4527872e+18,TA,KQ.m@CZCE.TA,CZCE,TA,chemical,8.0,,4264.0,4298.0,4244.0,4254.0,489666.0,519369.0,522405.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 19:37:01
2016-01-18,1.4530464e+18,TA,KQ.m@CZCE.TA,CZCE,TA,chemical,9.0,,4206.0,4268.0,4200.0,4250.0,726496.0,522405.0,589192.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 19:37:01
