term,coef,std_err_hc1,t_stat_hc1,n_obs,r2,ma_window,version,return_col
const,0.00013483847653384626,5.915441493234831e-05,2.2794321723586264,36697,0.0001522757404115449,10,long_flat,net_strategy_return
high_vol_dummy,-9.320732322882945e-05,0.0001420304467362118,-0.6562488914925415,36697,0.0001522757404115449,10,long_flat,net_strategy_return
activity_score,8.297245500832916e-05,7.276261286177342e-05,1.1403171456466425,36697,0.0001522757404115449,10,long_flat,net_strategy_return
high_vol_x_activity_score,0.0001408250240078806,0.00017088300955812413,0.8241019652687027,36697,0.0001522757404115449,10,long_flat,net_strategy_return
const,-0.00012049045885473182,5.669202296097089e-05,-2.125351196899119,36697,5.18403602525197e-05,10,long_flat,net_map_vs_passive
high_vol_dummy,-0.0001258108754402715,0.00014161839223942612,-0.8883794925984632,36697,5.18403602525197e-05,10,long_flat,net_map_vs_passive
activity_score,-8.246952891837039e-05,6.194398214947213e-05,-1.3313565911757124,36697,5.18403602525197e-05,10,long_flat,net_map_vs_passive
high_vol_x_activity_score,0.00013058622250572535,0.00014644766559697832,0.8916920728876389,36697,5.18403602525197e-05,10,long_flat,net_map_vs_passive
const,0.00013483847653384626,5.915441493234831e-05,2.2794321723586264,36697,0.0001522757404115449,10,long_flat,net_map_vs_zero
high_vol_dummy,-9.320732322882945e-05,0.0001420304467362118,-0.6562488914925415,36697,0.0001522757404115449,10,long_flat,net_map_vs_zero
activity_score,8.297245500832916e-05,7.276261286177342e-05,1.1403171456466425,36697,0.0001522757404115449,10,long_flat,net_map_vs_zero
high_vol_x_activity_score,0.0001408250240078806,0.00017088300955812413,0.8241019652687027,36697,0.0001522757404115449,10,long_flat,net_map_vs_zero
const,1.4348017679114404e-05,8.197313964261011e-05,0.17503316015062356,36697,0.00012021050119559451,10,long_short,net_strategy_return
high_vol_dummy,-0.00021901819866910113,0.00020059975972637064,-1.0918168544561284,36697,0.00012021050119559451,10,long_short,net_strategy_return
activity_score,5.029260899586991e-07,9.564932099379947e-05,0.0052580204933321125,36697,0.00012021050119559451,10,long_short,net_strategy_return
high_vol_x_activity_score,0.00027141124651360585,0.00022507984275731965,1.2058443047973895,36697,0.00012021050119559451,10,long_short,net_strategy_return
const,-0.00024098091770946364,0.00011338404592194178,-2.125351196899119,36697,5.18403602525197e-05,10,long_short,net_map_vs_passive
high_vol_dummy,-0.00025162175088054307,0.00028323678447885224,-0.8883794925984634,36697,5.18403602525197e-05,10,long_short,net_map_vs_passive
activity_score,-0.00016493905783674076,0.00012388796429894426,-1.3313565911757121,36697,5.18403602525197e-05,10,long_short,net_map_vs_passive
high_vol_x_activity_score,0.0002611724450114507,0.00029289533119395664,0.8916920728876389,36697,5.18403602525197e-05,10,long_short,net_map_vs_passive
const,1.4348017679114404e-05,8.197313964261011e-05,0.17503316015062356,36697,0.00012021050119559451,10,long_short,net_map_vs_zero
high_vol_dummy,-0.00021901819866910113,0.00020059975972637064,-1.0918168544561284,36697,0.00012021050119559451,10,long_short,net_map_vs_zero
activity_score,5.029260899586991e-07,9.564932099379947e-05,0.0052580204933321125,36697,0.00012021050119559451,10,long_short,net_map_vs_zero
high_vol_x_activity_score,0.00027141124651360585,0.00022507984275731965,1.2058443047973895,36697,0.00012021050119559451,10,long_short,net_map_vs_zero
const,0.00011559964429641996,6.028570904977563e-05,1.9175298112687653,36697,9.984687967934391e-05,20,long_flat,net_strategy_return
high_vol_dummy,9.127578980704948e-05,0.00014139963161487307,0.645516461143656,36697,9.984687967934391e-05,20,long_flat,net_strategy_return
activity_score,0.00013028621687830638,7.456042366707616e-05,1.7473910483670871,36697,9.984687967934391e-05,20,long_flat,net_strategy_return
high_vol_x_activity_score,-2.4983677195559877e-05,0.0001694417882267376,-0.14744696368600707,36697,9.984687967934391e-05,20,long_flat,net_strategy_return
const,-0.00013972929109215814,5.549681885464238e-05,-2.5177891990194605,36697,2.1251195589822025e-05,20,long_flat,net_map_vs_passive
high_vol_dummy,5.8672237595607336e-05,0.00014221855578453032,0.41254980597960306,36697,2.1251195589822025e-05,20,long_flat,net_map_vs_passive
activity_score,-3.5155767048393136e-05,5.973575935974252e-05,-0.5885213049134773,36697,2.1251195589822025e-05,20,long_flat,net_map_vs_passive
high_vol_x_activity_score,-3.5222478697715015e-05,0.00014805990135942324,-0.23789343619924874,36697,2.1251195589822025e-05,20,long_flat,net_map_vs_passive
const,0.00011559964429641996,6.028570904977563e-05,1.9175298112687653,36697,9.984687967934391e-05,20,long_flat,net_map_vs_zero
high_vol_dummy,9.127578980704948e-05,0.00014139963161487307,0.645516461143656,36697,9.984687967934391e-05,20,long_flat,net_map_vs_zero
activity_score,0.00013028621687830638,7.456042366707616e-05,1.7473910483670871,36697,9.984687967934391e-05,20,long_flat,net_map_vs_zero
