ma_window,version,return_col,interaction_coef,interaction_std_err_hc1,interaction_t_stat_hc1,regression_n_obs,regression_r2,regression_activity_effect_flag
10,long_flat,net_map_vs_passive,0.00013058622250572535,0.00014644766559697832,0.8916920728876389,36697,5.18403602525197e-05,WEAK_ENHANCEMENT
10,long_flat,net_map_vs_zero,0.0001408250240078806,0.00017088300955812413,0.8241019652687027,36697,0.0001522757404115449,WEAK_ENHANCEMENT
10,long_flat,net_strategy_return,0.0001408250240078806,0.00017088300955812413,0.8241019652687027,36697,0.0001522757404115449,WEAK_ENHANCEMENT
10,long_short,net_map_vs_passive,0.0002611724450114507,0.00029289533119395664,0.8916920728876389,36697,5.18403602525197e-05,WEAK_ENHANCEMENT
10,long_short,net_map_vs_zero,0.00027141124651360585,0.00022507984275731965,1.2058443047973895,36697,0.00012021050119559451,WEAK_ENHANCEMENT
10,long_short,net_strategy_return,0.00027141124651360585,0.00022507984275731965,1.2058443047973895,36697,0.00012021050119559451,WEAK_ENHANCEMENT
20,long_flat,net_map_vs_passive,-3.5222478697715015e-05,0.00014805990135942324,-0.23789343619924874,36697,2.1251195589822025e-05,WEAK_ATTENUATION
20,long_flat,net_map_vs_zero,-2.4983677195559877e-05,0.0001694417882267376,-0.14744696368600707,36697,9.984687967934391e-05,WEAK_ATTENUATION
20,long_flat,net_strategy_return,-2.4983677195559877e-05,0.0001694417882267376,-0.14744696368600707,36697,9.984687967934391e-05,WEAK_ATTENUATION
20,long_short,net_map_vs_passive,-7.044495739542999e-05,0.0002961198027188465,-0.2378934361992486,36697,2.1251195589822025e-05,WEAK_ATTENUATION
20,long_short,net_map_vs_zero,-6.020615589327504e-05,0.00022501022235187575,-0.26757075862590535,36697,3.641441913670995e-05,WEAK_ATTENUATION
20,long_short,net_strategy_return,-6.020615589327504e-05,0.00022501022235187575,-0.26757075862590535,36697,3.641441913670995e-05,WEAK_ATTENUATION
60,long_flat,net_map_vs_passive,-6.882429084312431e-05,0.00014632564521107515,-0.47035016140776337,36697,2.3650078257997365e-05,WEAK_ATTENUATION
60,long_flat,net_map_vs_zero,-5.858548934096909e-05,0.00017095455721581306,-0.34269627142498904,36697,0.0002358251652052612,WEAK_ATTENUATION
60,long_flat,net_strategy_return,-5.858548934096909e-05,0.00017095455721581306,-0.34269627142498904,36697,0.0002358251652052612,WEAK_ATTENUATION
60,long_short,net_map_vs_passive,-0.00013764858168624863,0.0002926512904221503,-0.47035016140776337,36697,2.3650078257997365e-05,WEAK_ATTENUATION
60,long_short,net_map_vs_zero,-0.00012740978018409323,0.0002250297810187607,-0.56619074865238,36697,0.00020023792533108153,WEAK_ATTENUATION
60,long_short,net_strategy_return,-0.00012740978018409323,0.0002250297810187607,-0.56619074865238,36697,0.00020023792533108153,WEAK_ATTENUATION
120,long_flat,net_map_vs_passive,-0.00010474997514624271,0.0001483421505705713,-0.7061376334598146,36681,0.00013586953309296934,WEAK_ATTENUATION
120,long_flat,net_map_vs_zero,-9.496972473741332e-05,0.00016916451252279715,-0.5614045364545055,36681,0.0002552172653634832,WEAK_ATTENUATION
120,long_flat,net_strategy_return,-9.496972473741332e-05,0.00016916451252279715,-0.5614045364545055,36681,0.0002552172653634832,WEAK_ATTENUATION
120,long_short,net_map_vs_passive,-0.00020964021793530368,0.0002966840885979553,-0.7066109238483391,36681,0.0001359212500254836,WEAK_ATTENUATION
120,long_short,net_map_vs_zero,-0.0001998599675264743,0.0002249514191609925,-0.8884583536831976,36681,0.0003171655498519499,WEAK_ATTENUATION
120,long_short,net_strategy_return,-0.0001998599675264743,0.0002249514191609925,-0.8884583536831976,36681,0.0003171655498519499,WEAK_ATTENUATION
