commodity,commodity_name,main_symbol,date,close,reversal_status,life_estimate_reliability,rev_best_type,J_rev_star,L_rev_star,K_rev_eval,rev_model_quality,rev_validated_age_obs,rev_model_scope,REVModelUsable,REVSource,REVSide,REVSignal,REVValidatedSignal,REVVolumeDivergence,REVEpisodeID,REVEpisodeSideLabel,REVEpisodeSource,REVEpisodeStartDate,best_model_label,best_rev_type,best_J,best_L,best_K,best_n,best_mean_y,best_t_nw,best_hit_rate,best_boot_p_mean_le_0,best_mean_raw,best_candidate_model,best_confirmed_model,best_model_quality,reversal_active_now,rev_side_label,rev_source,reversal_end_confirmed,latest_row_has_reversal_end_flag,n_comparable_completed,duration_reliability,duration_unit,duration_definition,mean_remaining_obs,median_remaining_obs,p_end_within_1obs,p_end_within_2obs,p_end_within_3obs,p_end_within_5obs,p_end_within_10obs,p_end_within_20obs,ReversalEnd_signal,ReversalEnd_flip,ReversalEnd_fast_absorbed,ReversalEnd
AG,沪银,KQ.m@SHFE.ag,2026-06-30,13966.0,REVERSAL_CONFIRMED_ENDED,NO_ACTIVE_REVERSAL,TSREV,5.0,0.0,5.0,CANDIDATE,,CANDIDATE,True,NONE,,0.0,0.0,0.0,,,,,AG_TSREV_J5_K5,TSREV,5,0,5,828,0.07164250302762792,1.0661125677013201,0.5434782608695652,0.1425,0.002855555633791779,True,False,CANDIDATE,False,NONE,NONE,True,True,0,NO_ACTIVE_REVERSAL,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",,,,,,,,,1.0,0.0,0.0,1.0
CF,棉花,KQ.m@CZCE.CF,2026-06-30,16065.0,NO_VALIDATED_REVERSAL,NO_ACTIVE_REVERSAL,FastREV,60.0,0.0,20.0,CANDIDATE,,CANDIDATE,True,NONE,,0.0,0.0,1.0,,,,,CF_FastREV_J60_K20,FastREV,60,0,20,109,0.5799295353870315,3.7299322188990836,0.6788990825688074,0.0,0.01165835898619653,True,False,CANDIDATE,False,NONE,NONE,False,False,0,NO_ACTIVE_REVERSAL,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",,,,,,,,,0.0,0.0,0.0,0.0
EB,苯乙烯,KQ.m@DCE.eb,2026-06-30,7368.0,NO_VALIDATED_REVERSAL,NO_ACTIVE_REVERSAL,FastREV,60.0,0.0,20.0,DIAGNOSTIC_ONLY,,DIAGNOSTIC_ONLY,False,FastREV,1.0,1.0,0.0,0.0,,,,,EB_FastREV_J60_K20,FastREV,60,0,20,57,0.6065548882002053,4.244212336257822,0.7894736842105263,0.0,0.0497362137562396,False,False,DIAGNOSTIC_ONLY,False,NONE,NONE,False,False,0,NO_ACTIVE_REVERSAL,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",,,,,,,,,0.0,0.0,0.0,0.0
FG,玻璃,KQ.m@CZCE.FG,2026-06-30,967.0,NO_VALIDATED_REVERSAL,NO_ACTIVE_REVERSAL,FastREV,3.0,0.0,10.0,CANDIDATE,,CANDIDATE,True,NONE,,0.0,0.0,0.0,,,,,FG_FastREV_J3_K10,FastREV,3,0,10,125,0.21797386121408624,1.611735594158562,0.608,0.075,0.011356858091208807,True,False,CANDIDATE,False,NONE,NONE,False,False,0,NO_ACTIVE_REVERSAL,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",,,,,,,,,0.0,0.0,0.0,0.0
LH,生猪,KQ.m@DCE.lh,2026-06-30,12365.0,NO_VALIDATED_REVERSAL,NO_ACTIVE_REVERSAL,FastREV,20.0,0.0,20.0,DIAGNOSTIC_ONLY,,DIAGNOSTIC_ONLY,False,NONE,,0.0,0.0,1.0,,,,,LH_FastREV_J20_K20,FastREV,20,0,20,103,0.21917986720965202,0.4144358061468839,0.5339805825242718,0.5475,0.016173666070926004,False,False,DIAGNOSTIC_ONLY,False,NONE,NONE,False,False,0,NO_ACTIVE_REVERSAL,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",,,,,,,,,0.0,0.0,0.0,0.0
M,豆粕,KQ.m@DCE.m,2026-06-30,2951.0,NO_VALIDATED_REVERSAL,NO_ACTIVE_REVERSAL,TSREV,60.0,0.0,20.0,CONFIRMED,,CONFIRMED,True,NONE,,0.0,0.0,1.0,,,,,M_TSREV_J60_K20,TSREV,60,0,20,762,0.25844893908157623,2.112081287872602,0.5787401574803149,0.01,0.011440416080995691,True,True,CONFIRMED,False,NONE,NONE,False,False,0,NO_ACTIVE_REVERSAL,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",,,,,,,,,0.0,0.0,0.0,0.0
MA,甲醇,KQ.m@CZCE.MA,2026-06-30,2442.0,NO_VALIDATED_REVERSAL,NO_ACTIVE_REVERSAL,FastREV,60.0,0.0,10.0,CANDIDATE,,CANDIDATE,True,NONE,,0.0,0.0,0.0,,,,,MA_FastREV_J60_K10,FastREV,60,0,10,96,0.7975330855444582,5.791972553215366,0.78125,0.0,0.03785752336897544,True,False,CANDIDATE,False,NONE,NONE,False,False,0,NO_ACTIVE_REVERSAL,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",,,,,,,,,0.0,0.0,0.0,0.0
SA,纯碱,KQ.m@CZCE.SA,2026-06-30,1084.0,UP_REVERSAL_ACTIVE_RAREV,OK,RAREV,60.0,0.0,20.0,CANDIDATE,16.0,CANDIDATE,True,RAREV,1.0,1.0,1.0,0.0,SA_REV_0050,UP,RAREV,2026-06-08 00:00:00,SA_RAREV_J60_K20,RAREV,60,0,20,1410,0.19481279864109366,1.6717937993716847,0.5567375886524822,0.055,0.016259060648627033,True,False,CANDIDATE,True,UP,RAREV,False,False,10,OK,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",45.3,53.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
SP,纸浆,KQ.m@SHFE.sp,2026-06-30,4700.0,NO_VALIDATED_REVERSAL,NO_ACTIVE_REVERSAL,FastREV,3.0,0.0,10.0,CANDIDATE,,CANDIDATE,True,NONE,,0.0,0.0,1.0,,,,,SP_FastREV_J3_K10,FastREV,3,0,10,106,0.19034746442984424,1.0498234305009122,0.5377358490566038,0.1025,0.004857599822938304,True,False,CANDIDATE,False,NONE,NONE,False,False,0,NO_ACTIVE_REVERSAL,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",,,,,,,,,0.0,0.0,0.0,0.0
SR,白糖,KQ.m@CZCE.SR,2026-06-30,5281.0,DOWN_REVERSAL_ACTIVE_TSREV,OK,TSREV,2.0,0.0,10.0,CONFIRMED,1.0,CONFIRMED,True,TSREV,-1.0,1.0,1.0,1.0,SR_REV_0231,DOWN,TSREV,2026-06-30 00:00:00,SR_TSREV_J2_K10,TSREV,2,0,10,769,0.10898290896549075,2.40022180775715,0.5305591677503251,0.005,0.0025531110515509266,True,True,CONFIRMED,True,DOWN,TSREV,False,False,107,OK,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",1.308411214953271,1.0,0.7663551401869159,0.9252336448598131,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
