commodity,commodity_name,main_symbol,first_date,last_date,total_obs,rev_signal_obs,rev_validated_obs,up_validated_obs,down_validated_obs,best_model_label,best_rev_type,best_J,best_L,best_K,best_n,best_mean_y,best_t_nw,best_hit_rate,best_boot_p_mean_le_0,best_mean_raw,best_candidate_model,best_confirmed_model,best_model_quality,rev_signal_rate,rev_validated_rate,up_share_when_validated,down_share_when_validated
AG,沪银,KQ.m@SHFE.ag,2016-01-05,2026-06-30,2545,832,534,231,303,AG_TSREV_J5_K5,TSREV,5,0,5,828,0.07164250302762792,1.0661125677013201,0.5434782608695652,0.1425,0.002855555633791779,True,False,CANDIDATE,0.3269155206286837,0.20982318271119843,0.43258426966292135,0.5674157303370787
CF,棉花,KQ.m@CZCE.CF,2016-01-05,2026-06-30,2545,109,79,24,55,CF_FastREV_J60_K20,FastREV,60,0,20,109,0.5799295353870315,3.7299322188990836,0.6788990825688074,0.0,0.01165835898619653,True,False,CANDIDATE,0.04282907662082515,0.031041257367387033,0.3037974683544304,0.6962025316455697
EB,苯乙烯,KQ.m@DCE.eb,2019-09-26,2026-06-30,1635,64,0,0,0,EB_FastREV_J60_K20,FastREV,60,0,20,57,0.6065548882002053,4.244212336257822,0.7894736842105263,0.0,0.0497362137562396,False,False,DIAGNOSTIC_ONLY,0.03914373088685015,0.0,,
FG,玻璃,KQ.m@CZCE.FG,2016-01-05,2026-06-30,2545,125,48,21,27,FG_FastREV_J3_K10,FastREV,3,0,10,125,0.21797386121408624,1.611735594158562,0.608,0.075,0.011356858091208807,True,False,CANDIDATE,0.04911591355599214,0.018860510805500982,0.4375,0.5625
LH,生猪,KQ.m@DCE.lh,2021-01-08,2026-06-30,1324,103,0,0,0,LH_FastREV_J20_K20,FastREV,20,0,20,103,0.21917986720965202,0.4144358061468839,0.5339805825242718,0.5475,0.016173666070926004,False,False,DIAGNOSTIC_ONLY,0.07779456193353475,0.0,,
M,豆粕,KQ.m@DCE.m,2016-01-05,2026-06-30,2545,764,672,331,341,M_TSREV_J60_K20,TSREV,60,0,20,762,0.25844893908157623,2.112081287872602,0.5787401574803149,0.01,0.011440416080995691,True,True,CONFIRMED,0.300196463654224,0.2640471512770137,0.49255952380952384,0.5074404761904762
MA,甲醇,KQ.m@CZCE.MA,2016-01-05,2026-06-30,2545,96,70,48,22,MA_FastREV_J60_K10,FastREV,60,0,10,96,0.7975330855444582,5.791972553215366,0.78125,0.0,0.03785752336897544,True,False,CANDIDATE,0.037721021611001965,0.0275049115913556,0.6857142857142857,0.3142857142857143
SA,纯碱,KQ.m@CZCE.SA,2019-12-06,2026-06-30,1589,1427,1362,688,674,SA_RAREV_J60_K20,RAREV,60,0,20,1410,0.19481279864109366,1.6717937993716847,0.5567375886524822,0.055,0.016259060648627033,True,False,CANDIDATE,0.8980490874764002,0.8571428571428571,0.5051395007342144,0.4948604992657856
SP,纸浆,KQ.m@SHFE.sp,2018-11-27,2026-06-30,1839,110,47,30,17,SP_FastREV_J3_K10,FastREV,3,0,10,106,0.19034746442984424,1.0498234305009122,0.5377358490566038,0.1025,0.004857599822938304,True,False,CANDIDATE,0.059815116911364874,0.0255573681348559,0.6382978723404256,0.3617021276595745
SR,白糖,KQ.m@CZCE.SR,2016-01-05,2026-06-30,2545,774,305,164,141,SR_TSREV_J2_K10,TSREV,2,0,10,769,0.10898290896549075,2.40022180775715,0.5305591677503251,0.005,0.0025531110515509266,True,True,CONFIRMED,0.30412573673870336,0.11984282907662082,0.5377049180327869,0.46229508196721314
V,PVC,KQ.m@DCE.v,2016-01-05,2026-06-30,2545,820,727,384,343,V_TSREV_J60_K20,TSREV,60,0,20,804,0.17705183935364233,1.1702025796616407,0.5920398009950248,0.14,0.015732283398479336,True,False,CANDIDATE,0.32220039292730845,0.2856581532416503,0.5281980742778541,0.4718019257221458
