commodity,rev_side_label,rev_source,horizon_obs,n_state_obs,n_end_within_horizon_obs,p_end_within_horizon_obs,p_survive_beyond_horizon_obs,duration_unit,duration_definition,hist_n_episodes,hist_n_ended,hist_volume_divergence_rate,hist_duration_reliability,survival_sample_reliability
AG,DOWN,TSREV,1,303,104,0.3432343234323432,0.6567656765676568,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",104,104,0.6057692307692307,HIGH,HIGH
AG,DOWN,TSREV,2,303,174,0.5742574257425742,0.4257425742574258,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",104,104,0.6057692307692307,HIGH,HIGH
AG,DOWN,TSREV,3,303,227,0.7491749174917491,0.25082508250825086,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",104,104,0.6057692307692307,HIGH,HIGH
AG,DOWN,TSREV,5,303,286,0.9438943894389439,0.05610561056105612,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",104,104,0.6057692307692307,HIGH,HIGH
AG,DOWN,TSREV,10,303,302,0.9966996699669967,0.0033003300330033403,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",104,104,0.6057692307692307,HIGH,HIGH
AG,DOWN,TSREV,20,303,303,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",104,104,0.6057692307692307,HIGH,HIGH
AG,UP,TSREV,1,231,80,0.3463203463203463,0.6536796536796536,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",80,80,0.675,HIGH,HIGH
AG,UP,TSREV,2,231,135,0.5844155844155844,0.4155844155844156,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",80,80,0.675,HIGH,HIGH
AG,UP,TSREV,3,231,176,0.7619047619047619,0.23809523809523814,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",80,80,0.675,HIGH,HIGH
AG,UP,TSREV,5,231,218,0.9437229437229437,0.05627705627705626,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",80,80,0.675,HIGH,HIGH
AG,UP,TSREV,10,231,231,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",80,80,0.675,HIGH,HIGH
AG,UP,TSREV,20,231,231,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",80,80,0.675,HIGH,HIGH
CF,DOWN,FastREV,1,55,9,0.16363636363636364,0.8363636363636364,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",9,9,0.4444444444444444,LOW,HIGH
CF,DOWN,FastREV,2,55,16,0.2909090909090909,0.7090909090909091,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",9,9,0.4444444444444444,LOW,HIGH
CF,DOWN,FastREV,3,55,23,0.41818181818181815,0.5818181818181818,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",9,9,0.4444444444444444,LOW,HIGH
CF,DOWN,FastREV,5,55,33,0.6,0.4,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",9,9,0.4444444444444444,LOW,HIGH
CF,DOWN,FastREV,10,55,50,0.9090909090909091,0.09090909090909094,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",9,9,0.4444444444444444,LOW,HIGH
CF,DOWN,FastREV,20,55,55,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",9,9,0.4444444444444444,LOW,HIGH
CF,UP,FastREV,1,24,11,0.4583333333333333,0.5416666666666667,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.45454545454545453,LOW,MEDIUM
CF,UP,FastREV,2,24,19,0.7916666666666666,0.20833333333333337,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.45454545454545453,LOW,MEDIUM
CF,UP,FastREV,3,24,22,0.9166666666666666,0.08333333333333337,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.45454545454545453,LOW,MEDIUM
CF,UP,FastREV,5,24,24,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.45454545454545453,LOW,MEDIUM
CF,UP,FastREV,10,24,24,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.45454545454545453,LOW,MEDIUM
CF,UP,FastREV,20,24,24,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.45454545454545453,LOW,MEDIUM
FG,DOWN,FastREV,1,27,16,0.5925925925925926,0.40740740740740744,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
FG,DOWN,FastREV,2,27,24,0.8888888888888888,0.11111111111111116,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
FG,DOWN,FastREV,3,27,25,0.9259259259259259,0.07407407407407407,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
FG,DOWN,FastREV,5,27,27,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
FG,DOWN,FastREV,10,27,27,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
FG,DOWN,FastREV,20,27,27,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
FG,UP,FastREV,1,21,16,0.7619047619047619,0.23809523809523814,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
FG,UP,FastREV,2,21,21,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
FG,UP,FastREV,3,21,21,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
FG,UP,FastREV,5,21,21,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
FG,UP,FastREV,10,21,21,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
FG,UP,FastREV,20,21,21,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",16,16,0.5625,LOW,MEDIUM
M,DOWN,TSREV,1,341,32,0.093841642228739,0.906158357771261,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",32,32,0.65625,MEDIUM,HIGH
M,DOWN,TSREV,2,341,62,0.18181818181818182,0.8181818181818181,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",32,32,0.65625,MEDIUM,HIGH
M,DOWN,TSREV,3,341,86,0.25219941348973607,0.7478005865102639,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",32,32,0.65625,MEDIUM,HIGH
M,DOWN,TSREV,5,341,125,0.36656891495601174,0.6334310850439883,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",32,32,0.65625,MEDIUM,HIGH
M,DOWN,TSREV,10,341,189,0.5542521994134897,0.4457478005865103,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",32,32,0.65625,MEDIUM,HIGH
M,DOWN,TSREV,20,341,271,0.7947214076246334,0.2052785923753666,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",32,32,0.65625,MEDIUM,HIGH
M,UP,TSREV,1,331,27,0.08157099697885196,0.918429003021148,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,27,0.7777777777777778,MEDIUM,HIGH
M,UP,TSREV,2,331,51,0.1540785498489426,0.8459214501510575,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,27,0.7777777777777778,MEDIUM,HIGH
M,UP,TSREV,3,331,70,0.21148036253776434,0.7885196374622356,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,27,0.7777777777777778,MEDIUM,HIGH
M,UP,TSREV,5,331,106,0.3202416918429003,0.6797583081570997,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,27,0.7777777777777778,MEDIUM,HIGH
M,UP,TSREV,10,331,170,0.513595166163142,0.48640483383685795,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,27,0.7777777777777778,MEDIUM,HIGH
M,UP,TSREV,20,331,255,0.770392749244713,0.22960725075528698,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,27,0.7777777777777778,MEDIUM,HIGH
MA,DOWN,FastREV,1,22,8,0.36363636363636365,0.6363636363636364,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",8,8,0.375,LOW,MEDIUM
MA,DOWN,FastREV,2,22,13,0.5909090909090909,0.40909090909090906,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",8,8,0.375,LOW,MEDIUM
MA,DOWN,FastREV,3,22,17,0.7727272727272727,0.2272727272727273,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",8,8,0.375,LOW,MEDIUM
MA,DOWN,FastREV,5,22,21,0.9545454545454546,0.045454545454545414,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",8,8,0.375,LOW,MEDIUM
MA,DOWN,FastREV,10,22,22,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",8,8,0.375,LOW,MEDIUM
MA,DOWN,FastREV,20,22,22,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",8,8,0.375,LOW,MEDIUM
