commodity,trend_side_label,risk_state,horizon,n_state_obs,n_end_within_h,p_end_within_h,p_survive_beyond_h,hist_n_episodes,hist_n_ended,hist_overextended_rate,hist_duration_reliability,survival_sample_reliability
AG,UP,RISK,1,312,35,0.11217948717948718,0.8878205128205128,167,167,0.20359281437125748,HIGH,HIGH
AG,UP,RISK,2,312,47,0.15064102564102563,0.8493589743589743,167,167,0.20359281437125748,HIGH,HIGH
AG,UP,RISK,3,312,59,0.1891025641025641,0.8108974358974359,167,167,0.20359281437125748,HIGH,HIGH
AG,UP,RISK,5,312,81,0.25961538461538464,0.7403846153846154,167,167,0.20359281437125748,HIGH,HIGH
AG,UP,RISK,10,312,134,0.42948717948717946,0.5705128205128205,167,167,0.20359281437125748,HIGH,HIGH
AG,UP,RISK,20,312,224,0.717948717948718,0.28205128205128205,167,167,0.20359281437125748,HIGH,HIGH
AG,DOWN,NO_RISK,1,596,199,0.3338926174496644,0.6661073825503356,177,176,0.0903954802259887,HIGH,HIGH
AG,DOWN,NO_RISK,2,595,234,0.39327731092436974,0.6067226890756303,177,176,0.0903954802259887,HIGH,HIGH
AG,DOWN,NO_RISK,3,594,265,0.44612794612794615,0.5538720538720538,177,176,0.0903954802259887,HIGH,HIGH
AG,DOWN,NO_RISK,5,592,313,0.5287162162162162,0.47128378378378377,177,176,0.0903954802259887,HIGH,HIGH
AG,DOWN,NO_RISK,10,587,389,0.6626916524701874,0.33730834752981265,177,176,0.0903954802259887,HIGH,HIGH
AG,DOWN,NO_RISK,20,584,474,0.8116438356164384,0.18835616438356162,177,176,0.0903954802259887,HIGH,HIGH
AG,UP,NO_RISK,1,665,179,0.26917293233082706,0.7308270676691729,167,167,0.20359281437125748,HIGH,HIGH
AG,UP,NO_RISK,2,665,214,0.3218045112781955,0.6781954887218045,167,167,0.20359281437125748,HIGH,HIGH
AG,UP,NO_RISK,3,665,243,0.36541353383458647,0.6345864661654135,167,167,0.20359281437125748,HIGH,HIGH
AG,UP,NO_RISK,5,665,292,0.43909774436090226,0.5609022556390977,167,167,0.20359281437125748,HIGH,HIGH
AG,UP,NO_RISK,10,665,396,0.5954887218045113,0.4045112781954887,167,167,0.20359281437125748,HIGH,HIGH
AG,UP,NO_RISK,20,665,495,0.7443609022556391,0.2556390977443609,167,167,0.20359281437125748,HIGH,HIGH
AG,DOWN,RISK,1,80,16,0.2,0.8,177,176,0.0903954802259887,HIGH,HIGH
AG,DOWN,RISK,2,80,19,0.2375,0.7625,177,176,0.0903954802259887,HIGH,HIGH
AG,DOWN,RISK,3,80,21,0.2625,0.7375,177,176,0.0903954802259887,HIGH,HIGH
AG,DOWN,RISK,5,80,26,0.325,0.675,177,176,0.0903954802259887,HIGH,HIGH
AG,DOWN,RISK,10,80,44,0.55,0.44999999999999996,177,176,0.0903954802259887,HIGH,HIGH
AG,DOWN,RISK,20,80,61,0.7625,0.23750000000000004,177,176,0.0903954802259887,HIGH,HIGH
CF,DOWN,RISK,1,171,14,0.08187134502923976,0.9181286549707602,114,113,0.14912280701754385,HIGH,HIGH
CF,DOWN,RISK,2,171,22,0.1286549707602339,0.8713450292397661,114,113,0.14912280701754385,HIGH,HIGH
CF,DOWN,RISK,3,171,30,0.17543859649122806,0.8245614035087719,114,113,0.14912280701754385,HIGH,HIGH
CF,DOWN,RISK,5,171,49,0.28654970760233917,0.7134502923976609,114,113,0.14912280701754385,HIGH,HIGH
CF,DOWN,RISK,10,171,84,0.49122807017543857,0.5087719298245614,114,113,0.14912280701754385,HIGH,HIGH
CF,DOWN,RISK,20,171,126,0.7368421052631579,0.26315789473684215,114,113,0.14912280701754385,HIGH,HIGH
